id,hypo1_decision,hypo1_confidence,hypo1_similarity,hypo2_decision,hypo2_confidence,hypo2_similarity,hypo3_decision,hypo3_confidence,hypo3_similarity,hypo4_decision,hypo4_confidence,hypo4_similarity,hypo5_decision,hypo5_confidence,hypo5_similarity,hypo6_decision,hypo6_confidence,hypo6_similarity,hypo7_decision,hypo7_confidence,hypo7_similarity,hypo8_decision,hypo8_confidence,hypo8_similarity,hypo9_decision,hypo9_confidence,hypo9_similarity
VK9IQ0M8,Yes,4,8,No,7,7,No,5,3,No,5,4,Yes,9,9,No,5,4,No,8,8,No,9,8,No,8,7
0PA5AJZW,Yes,9,8,Yes,7,6,No,7,6,Yes,8,7,Yes,9,9,No,7,5,No,8,8,No,8,8,No,8,8
M6N6C2DK,No,7,4,No,8,7,No,7,5,No,4,3,Yes,9,9,No,7,7,No,8,8,No,8,7,No,6,5
388MW6UL,No,7,4,No,8,7,No,7,5,No,4,3,Yes,9,9,No,7,7,No,8,8,No,8,7,No,6,5
M389NE8N,No,4,5,No,4,5,No,4,5,No,4,5,No,4,4,No,4,4,No,4,5,No,4,4,No,4,4
CYVH9I2G,Yes,9,8,No,2,8,No,8,8,No,8,8,Yes,10,9,No,8,7,No,8,7,No,9,7,No,9,6
4SM8OPKC,No,7,4,No,8,7,No,7,5,No,4,3,Yes,9,9,No,7,7,No,8,8,No,8,7,No,6,5
K4RY6M01,No,4,5,No,4,5,No,4,5,No,4,5,No,4,4,No,4,4,No,4,5,No,4,4,No,4,4
Z65ZIWMT,Yes,5,7,Yes,4,7,Yes,4,7,Yes,6,5,No,10,9,No,10,9,No,9,8,No,9,9,No,7,8
05Q690PJ,Yes,5,5,Yes,9,9,No,2,7,Yes,6,6,Yes,9,9,Yes,9,9,No,5,5,No,5,5,No,5,5
YMC8I53A,Yes,6,7,No,7,7,No,7,7,Yes,5,4,Yes,8,8,No,8,8,No,8,8,No,8,8,No,8,7
O6NVI5GD,No,2,3,No,2,3,No,3,4,No,4,5,Yes,8,9,No,5,6,No,8,9,No,6,7,No,5,6
MWJ5YOGF,Yes,8,9,No,7,9,Yes,5,7,No,8,7,Yes,9,10,Yes,8,9,No,8,7,No,8,7,No,8,9
LRPGBCL8,Yes,8,9,No,7,9,Yes,5,7,No,8,7,Yes,9,10,Yes,8,9,No,8,7,No,8,7,No,8,9
83IXFCIX,No,2,3,No,2,3,No,3,4,No,4,5,Yes,8,9,No,5,6,No,8,9,No,6,7,No,5,6
SSO51XBQ,No,4,4,No,5,5,Yes,8,7,Yes,9,8,Yes,9,8,Yes,9,7,No,6,5,No,8,6,No,8,7
XLIF9C38,Yes,5,7,Yes,3,4,No,2,2,Yes,5,5,Yes,8,8,Yes,5,5,No,3,4,No,4,6,No,5,6
55VDZJNR,No,9,6,No,9,9,No,9,9,No,9,9,Yes,9,9,Yes,9,9,No,9,9,No,9,9,No,9,9
TR9240RA,Yes,8,9,No,7,7,No,6,5,No,6,5,Yes,8,9,No,7,7,No,8,8,No,6,5,No,6,4
L2K2AHDZ,No,7,6,No,9,8,No,8,6,No,7,7,Yes,8,9,No,8,7,No,9,8,No,9,8,No,6,5
KBSQGAOR,Yes,9,8,No,2,8,No,8,8,No,8,8,Yes,10,9,No,8,7,No,8,7,No,9,7,No,9,6
X1BQVVDM,Yes,10,10,Yes,10,8,No,5,5,No,5,5,Yes,10,10,No,6,6,No,8,8,No,7,7,No,6,6
GV3ZO0KL,Yes,9,9,No,8,8,Yes,5,4,No,8,7,Yes,9,9,No,8,9,No,9,8,No,9,8,No,5,8
SYECG1J5,No,6,6,No,6,6,No,8,8,No,8,8,No,5,5,No,5,5,No,8,8,No,8,8,No,7,8
6O21BBUS,No,8,5,No,8,5,No,8,6,No,8,6,Yes,8,8,No,8,5,No,8,8,No,8,8,No,8,8
AWAO0KL9,Yes,6,7,No,7,7,No,7,7,Yes,5,4,Yes,8,8,No,8,8,No,8,8,No,8,8,No,8,7
Q22T213X,No,4,4,No,6,5,No,7,7,No,7,7,No,7,5,Yes,7,6,No,6,8,No,8,8,No,4,4
ZFK1YIBJ,Yes,9,8,No,2,8,No,8,8,No,8,8,Yes,10,9,No,8,7,No,8,7,No,9,7,No,9,6
0DJXJQ03,No,9,9,No,9,9,Yes,9,9,Yes,9,9,Yes,9,7,Yes,9,7,Yes,9,8,Yes,9,8,No,9,7
AAXXAQ5M,No,3,3,No,3,3,No,3,3,No,3,3,Yes,9,9,Yes,9,9,No,9,9,No,9,9,No,9,9
8TN3JNWP,No,8,6,No,8,6,No,8,6,No,8,6,Yes,10,10,No,8,6,No,8,6,No,8,6,No,9,8
TEPVJ3NH,No,8,3,No,8,5,No,8,3,Yes,8,7,Yes,8,7,Yes,8,7,No,8,5,No,8,5,No,8,5
ZQXZ4M26,No,8,6,No,8,6,No,8,6,No,8,6,Yes,10,10,No,8,6,No,8,6,No,8,6,No,9,8
HHMH4BR5,No,3,5,No,3,5,No,5,3,No,5,3,Yes,10,10,Yes,10,10,No,10,6,No,10,6,No,10,2
ZYP9XYEN,No,7,7,Yes,9,9,No,9,9,Yes,9,9,Yes,9,9,No,7,7,No,9,9,No,7,7,No,7,7
1IVO6ORP,Yes,8,9,No,7,7,No,6,5,No,6,5,Yes,8,9,No,7,7,No,8,8,No,6,5,No,6,4
8LCYG10D,Yes,5,5,Yes,9,9,No,2,7,Yes,6,6,Yes,9,9,Yes,9,9,No,5,5,No,5,5,No,5,5
CC5QAWVO,No,8,6,No,8,9,No,8,7,No,6,5,Yes,9,9,No,7,4,No,8,8,No,7,7,No,6,5
K8GUY08K,No,9,6,No,9,9,No,9,9,No,9,9,Yes,9,9,Yes,9,9,No,9,9,No,9,9,No,9,9
RCO4BDT4,No,8,5,No,8,5,No,8,5,No,8,5,No,8,5,No,8,5,No,8,5,No,8,5,No,8,5
69XEK8LQ,Yes,10,10,No,9,9,No,9,9,Yes,5,6,Yes,8,8,No,8,7,No,8,8,No,9,8,No,8,9
DNKD6X99,No,8,8,No,8,8,No,1,1,No,1,1,Yes,8,8,Yes,8,8,No,5,5,No,5,5,No,5,5
90AR8Z38,No,8,8,No,8,8,No,1,1,No,1,1,Yes,8,8,Yes,8,8,No,5,5,No,5,5,No,5,5
ZG3QR5WU,No,4,5,No,7,7,No,6,6,No,8,8,Yes,9,8,No,9,6,No,9,9,No,9,9,No,9,8
IMCM6CSW,No,9,8,No,8,7,No,9,9,No,7,5,Yes,9,9,No,7,5,No,9,9,No,9,9,No,9,9
24XSQU5H,No,6,3,No,7,6,No,8,6,No,5,3,Yes,9,10,No,6,3,No,9,10,No,9,10,No,9,10
XLW8525N,No,5,4,No,5,4,No,5,4,No,5,4,No,5,4,No,5,4,No,5,4,No,5,4,No,4,4
XOSQ3HI9,No,10,8,Yes,6,5,No,10,8,No,10,8,Yes,10,8,Yes,6,5,No,10,8,No,10,8,No,5,4
QW96KSO3,Yes,8,7,No,9,8,Yes,6,3,No,6,3,Yes,10,10,Yes,9,9,No,7,7,No,8,8,No,10,8
SGHP5NOH,No,4,6,No,7,7,No,7,7,Yes,6,5,Yes,8,8,No,5,6,No,8,5,No,7,6,No,1,2
LQVXQAWJ,No,6,4,No,6,4,No,7,6,No,7,6,Yes,8,8,No,6,4,No,8,8,No,8,8,No,8,8
A80M330E,No,6,6,No,6,6,No,8,8,No,8,8,No,5,5,No,5,5,No,8,8,No,8,8,No,7,8
IT9KV39Y,Yes,8,8,No,6,5,Yes,8,8,No,6,5,Yes,7,8,No,7,6,No,7,6,No,7,6,No,6,5
V1F8P236,Yes,3,2,No,5,5,Yes,7,6,Yes,7,9,Yes,4,5,Yes,4,5,No,6,6,No,6,6,No,7,7
G5V0GGP4,No,10,8,Yes,6,5,No,10,8,No,10,8,Yes,10,8,Yes,6,5,No,10,8,No,10,8,No,5,4
VSNS90C6,No,6,3,No,7,6,No,8,6,No,5,3,Yes,9,10,No,6,3,No,9,10,No,9,10,No,9,10
GB2NG08J,No,3,7,Yes,7,7,No,6,6,No,6,6,Yes,8,7,Yes,8,7,No,7,6,No,7,6,No,7,6
F6ZXD1UJ,No,3,7,Yes,7,7,No,6,6,No,6,6,Yes,8,7,Yes,8,7,No,7,6,No,7,6,No,7,6
PKLOP81E,No,9,8,No,8,7,No,9,9,No,7,5,Yes,9,9,No,7,5,No,9,9,No,9,9,No,9,9
AOAUJA04,No,5,5,No,9,5,No,5,5,No,8,5,Yes,8,7,No,6,5,No,8,5,No,8,5,No,8,5
VUX5MZZI,Yes,10,9,No,10,7,Yes,10,7,Yes,10,8,Yes,10,9,Yes,10,8,No,10,7,No,10,8,No,10,8
OICJDPWE,No,8,5,No,8,5,No,8,6,No,8,6,Yes,8,8,No,8,5,No,8,8,No,8,8,No,8,8
SI0E2ZWJ,Yes,4,8,No,7,7,No,5,3,No,5,4,Yes,9,9,No,5,4,No,8,8,No,9,8,No,8,7
K8X023I3,Yes,8,9,Yes,6,8,No,4,7,No,4,7,Yes,9,9,No,5,9,No,4,7,No,4,7,No,4,7
F3SUBJWJ,No,4,6,No,7,7,No,7,7,Yes,6,5,Yes,8,8,No,5,6,No,8,5,No,7,6,No,1,2
UI5OSPP3,No,7,9,No,7,8,No,8,8,No,8,8,Yes,8,8,No,7,8,No,10,10,No,10,10,No,9,8
CN95SKJL,No,7,9,No,7,8,No,8,8,No,8,8,Yes,8,8,No,7,8,No,10,10,No,10,10,No,9,8
XKCTSAFQ,Yes,7,8,No,9,8,Yes,6,5,No,6,5,Yes,8,8,Yes,7,5,No,7,5,Yes,6,5,Yes,9,8
885QKCFS,No,4,4,No,6,5,No,7,7,No,7,7,No,7,5,Yes,7,6,No,6,8,No,8,8,No,4,4
99W5WBXT,No,8,8,No,8,8,No,8,8,Yes,8,8,Yes,8,8,No,8,8,No,6,5,No,6,5,No,7,6
33RVPAMN,Yes,10,10,Yes,10,8,Yes,10,8,Yes,10,8,Yes,10,10,No,10,8,No,8,8,No,8,6,No,8,6
VT6XJXXN,No,6,4,No,6,4,No,7,6,No,7,6,Yes,8,8,No,6,4,No,8,8,No,8,8,No,8,8
KW8RZ5JT,No,3,7,Yes,7,7,No,6,6,No,6,6,Yes,8,7,Yes,8,7,No,7,6,No,7,6,No,7,6
LN19530Z,No,5,5,No,5,5,Yes,6,5,Yes,6,5,Yes,6,6,Yes,6,6,No,7,7,Yes,8,7,Yes,8,8
LP4CNHKP,Yes,8,9,Yes,6,8,No,4,7,No,4,7,Yes,9,9,No,5,9,No,4,7,No,4,7,No,4,7
AIPPUTFH,No,8,6,No,8,9,No,8,7,No,6,5,Yes,9,9,No,7,4,No,8,8,No,7,7,No,6,5
YW8PCBMQ,No,6,5,No,6,5,No,7,6,No,7,6,Yes,8,7,No,7,6,No,6,5,No,6,5,No,8,7
CBWLOP91,No,7,8,No,9,10,Yes,10,10,Yes,9,9,No,7,8,No,8,9,No,10,9,No,10,9,No,9,8
1INW3TK4,No,8,6,No,8,9,No,8,7,No,6,5,Yes,9,9,No,7,4,No,8,8,No,7,7,No,6,5
888C2CN9,No,4,6,No,7,7,No,7,7,Yes,6,5,Yes,8,8,No,5,6,No,8,5,No,7,6,No,1,2
P6AOX4VW,Yes,6,5,No,8,7,Yes,8,7,Yes,7,6,Yes,9,8,No,7,6,No,8,7,No,8,7,No,7,6
R52UWQ99,Yes,9,9,No,8,8,Yes,5,4,No,8,7,Yes,9,9,No,8,9,No,9,8,No,9,8,No,5,8
4H0J0LU1,No,8,8,No,8,8,No,8,8,No,8,8,Yes,8,8,No,8,8,No,8,8,No,8,8,No,8,8
BSQKHZQE,No,7,6,No,8,7,No,8,8,No,9,9,Yes,9,9,No,8,8,No,8,7,No,6,7,No,7,6
IRDKYPME,No,7,7,No,7,7,No,7,7,No,7,7,No,7,7,No,7,7,No,7,7,No,7,7,No,7,7
GDXEMH9H,No,7,3,No,7,3,No,7,4,No,7,4,Yes,7,3,No,7,3,No,7,5,No,7,5,No,7,5
TNY0I90N,Yes,7,8,No,9,8,Yes,6,5,No,6,5,Yes,8,8,Yes,7,5,No,7,5,Yes,6,5,Yes,9,8
JGRUV96H,No,2,3,No,2,3,No,3,4,No,4,5,Yes,8,9,No,5,6,No,8,9,No,6,7,No,5,6
AV4QE5S4,Yes,10,10,No,9,9,No,9,9,Yes,5,6,Yes,8,8,No,8,7,No,8,8,No,9,8,No,8,9
2CR35P08,No,6,5,No,7,5,Yes,8,8,Yes,8,8,Yes,10,9,No,7,6,No,9,7,No,6,5,No,5,4
C5GDVGK0,No,5,3,Yes,5,6,No,7,3,Yes,3,6,Yes,4,6,Yes,4,6,No,7,5,No,7,5,No,7,5
W3QQGBED,No,8,4,Yes,8,4,No,8,4,No,8,4,No,8,4,No,8,4,No,8,4,No,8,4,No,8,5
U93VJXEP,No,5,5,No,9,5,No,5,5,No,8,5,Yes,8,7,No,6,5,No,8,5,No,8,5,No,8,5
8UMQ8DHM,No,4,4,No,6,5,No,7,7,No,7,7,No,7,5,Yes,7,6,No,6,8,No,8,8,No,4,4
5FAFB4QZ,Yes,10,10,No,10,7,No,10,7,No,5,5,Yes,10,10,No,8,5,No,9,9,No,9,9,No,10,9
3YZRHBCJ,No,8,3,No,8,5,No,8,3,Yes,8,7,Yes,8,7,Yes,8,7,No,8,5,No,8,5,No,8,5
1XER09KC,,,,,,,,,,,,,,,,,,,,,,,,,,,