id,portfolio_id,asset_id,shares,type
3,3,3,35.340,LogScoringPosition
4,3,4,51.017,LogScoringPosition
5,3,5,36.659,LogScoringPosition
6,3,6,48.536,LogScoringPosition
7,3,7,0.000,LogScoringPosition
8,3,8,0.000,LogScoringPosition
9,3,9,0.000,LogScoringPosition
10,3,10,0.000,LogScoringPosition
11,3,11,-0.381,LogScoringPosition
12,4,3,22.456,LogScoringPosition
13,4,4,11.541,LogScoringPosition
14,4,5,33.993,LogScoringPosition
15,4,6,0.000,LogScoringPosition
16,4,7,32.269,LogScoringPosition
17,4,8,35.366,LogScoringPosition
18,4,9,0.000,LogScoringPosition
19,4,10,0.000,LogScoringPosition
20,4,11,0.000,LogScoringPosition
21,5,3,0.000,LogScoringPosition
22,5,4,0.000,LogScoringPosition
23,5,5,0.000,LogScoringPosition
24,5,6,0.000,LogScoringPosition
25,5,7,0.000,LogScoringPosition
26,5,8,0.000,LogScoringPosition
27,5,9,49.888,LogScoringPosition
28,5,10,47.597,LogScoringPosition
29,5,11,112.743,LogScoringPosition
30,6,3,11.426,LogScoringPosition
31,6,4,11.571,LogScoringPosition
32,6,5,27.531,LogScoringPosition
33,6,6,27.408,LogScoringPosition
34,6,7,13.291,LogScoringPosition
35,6,8,13.920,LogScoringPosition
36,6,9,7.009,LogScoringPosition
37,6,10,6.407,LogScoringPosition
38,6,11,0.000,LogScoringPosition
39,7,3,5.487,LogScoringPosition
40,7,4,5.857,LogScoringPosition
41,7,5,5.596,LogScoringPosition
42,7,6,5.566,LogScoringPosition
43,7,7,0.000,LogScoringPosition
44,7,8,0.000,LogScoringPosition
45,7,9,0.000,LogScoringPosition
46,7,10,0.000,LogScoringPosition
47,7,11,18.056,LogScoringPosition
48,8,3,-59.072,LogScoringPosition
49,8,4,-17.459,LogScoringPosition
50,8,5,28.930,LogScoringPosition
51,8,6,28.926,LogScoringPosition
52,8,7,-37.892,LogScoringPosition
53,8,8,18.734,LogScoringPosition
54,8,9,18.421,LogScoringPosition
55,8,10,0.079,LogScoringPosition
56,8,11,-42.501,LogScoringPosition
57,9,3,-227.055,LogScoringPosition
58,9,4,-130.758,LogScoringPosition
59,9,5,-119.586,LogScoringPosition
60,9,6,-125.211,LogScoringPosition
61,9,7,0.000,LogScoringPosition
62,9,8,0.000,LogScoringPosition
63,9,9,20.901,LogScoringPosition
64,9,10,10.335,LogScoringPosition
65,9,11,-11.416,LogScoringPosition
66,10,3,26.956,LogScoringPosition
67,10,4,17.322,LogScoringPosition
68,10,5,28.157,LogScoringPosition
69,10,6,33.320,LogScoringPosition
70,10,7,0.000,LogScoringPosition
71,10,8,0.000,LogScoringPosition
72,10,9,-3.248,LogScoringPosition
73,10,10,7.676,LogScoringPosition
74,10,11,0.000,LogScoringPosition
75,11,3,0.000,LogScoringPosition
76,11,4,0.000,LogScoringPosition
77,11,5,0.000,LogScoringPosition
78,11,6,0.000,LogScoringPosition
79,11,7,0.000,LogScoringPosition
80,11,8,0.000,LogScoringPosition
81,11,9,0.000,LogScoringPosition
82,11,10,0.000,LogScoringPosition
83,11,11,0.000,LogScoringPosition
84,12,3,-29.922,LogScoringPosition
85,12,4,-23.185,LogScoringPosition
86,12,5,0.000,LogScoringPosition
87,12,6,0.000,LogScoringPosition
88,12,7,0.000,LogScoringPosition
89,12,8,-16.803,LogScoringPosition
90,12,9,32.524,LogScoringPosition
91,12,10,30.331,LogScoringPosition
92,12,11,32.433,LogScoringPosition
93,13,3,10.063,LogScoringPosition
94,13,4,5.720,LogScoringPosition
95,13,5,26.927,LogScoringPosition
96,13,6,10.924,LogScoringPosition
97,13,7,6.448,LogScoringPosition
98,13,8,-18.995,LogScoringPosition
99,13,9,6.775,LogScoringPosition
100,13,10,12.560,LogScoringPosition
101,13,11,-45.712,LogScoringPosition
102,14,3,29.883,LogScoringPosition
103,14,4,0.000,LogScoringPosition
104,14,5,22.508,LogScoringPosition
105,14,6,22.379,LogScoringPosition
106,14,7,0.000,LogScoringPosition
107,14,8,-81.514,LogScoringPosition
108,14,9,0.000,LogScoringPosition
109,14,10,0.000,LogScoringPosition
110,14,11,11.118,LogScoringPosition
111,15,3,11.221,LogScoringPosition
112,15,4,-38.898,LogScoringPosition
113,15,5,-65.219,LogScoringPosition
114,15,6,-67.753,LogScoringPosition
115,15,7,18.683,LogScoringPosition
116,15,8,-25.436,LogScoringPosition
117,15,9,-23.704,LogScoringPosition
118,15,10,-22.359,LogScoringPosition
119,15,11,-21.212,LogScoringPosition
120,16,3,0.000,LogScoringPosition
121,16,4,0.000,LogScoringPosition
122,16,5,0.000,LogScoringPosition
123,16,6,0.000,LogScoringPosition
124,16,7,0.000,LogScoringPosition
125,16,8,0.000,LogScoringPosition
126,16,9,0.000,LogScoringPosition
127,16,10,0.000,LogScoringPosition
128,16,11,0.000,LogScoringPosition
129,17,3,0.000,LogScoringPosition
130,17,4,0.000,LogScoringPosition
131,17,5,0.000,LogScoringPosition
132,17,6,0.000,LogScoringPosition
133,17,7,0.000,LogScoringPosition
134,17,8,0.000,LogScoringPosition
135,17,9,0.000,LogScoringPosition
136,17,10,0.000,LogScoringPosition
137,17,11,0.000,LogScoringPosition
138,18,3,-52.046,LogScoringPosition
139,18,4,-17.209,LogScoringPosition
140,18,5,-171.085,LogScoringPosition
141,18,6,-118.964,LogScoringPosition
142,18,7,-28.408,LogScoringPosition
143,18,8,-35.358,LogScoringPosition
144,18,9,-35.104,LogScoringPosition
145,18,10,-19.022,LogScoringPosition
146,18,11,-24.816,LogScoringPosition
147,19,3,13.621,LogScoringPosition
148,19,4,12.001,LogScoringPosition
149,19,5,26.644,LogScoringPosition
150,19,6,26.951,LogScoringPosition
151,19,7,13.123,LogScoringPosition
152,19,8,14.274,LogScoringPosition
153,19,9,0.000,LogScoringPosition
154,19,10,0.000,LogScoringPosition
155,19,11,30.507,LogScoringPosition
156,20,3,44.058,LogScoringPosition
157,20,4,0.000,LogScoringPosition
158,20,5,0.000,LogScoringPosition
159,20,6,0.000,LogScoringPosition
160,20,7,0.000,LogScoringPosition
161,20,8,0.000,LogScoringPosition
162,20,9,0.000,LogScoringPosition
163,20,10,0.000,LogScoringPosition
164,20,11,-84.772,LogScoringPosition
165,21,3,19.482,LogScoringPosition
166,21,4,18.123,LogScoringPosition
167,21,5,20.703,LogScoringPosition
168,21,6,19.178,LogScoringPosition
169,21,7,11.175,LogScoringPosition
170,21,8,7.274,LogScoringPosition
171,21,9,10.673,LogScoringPosition
172,21,10,3.802,LogScoringPosition
173,21,11,-4.597,LogScoringPosition
174,22,3,27.809,LogScoringPosition
175,22,4,27.280,LogScoringPosition
176,22,5,11.495,LogScoringPosition
177,22,6,11.577,LogScoringPosition
178,22,7,0.000,LogScoringPosition
179,22,8,0.000,LogScoringPosition
180,22,9,0.000,LogScoringPosition
181,22,10,0.000,LogScoringPosition
182,22,11,-47.696,LogScoringPosition
183,23,3,0.000,LogScoringPosition
184,23,4,0.000,LogScoringPosition
185,23,5,0.000,LogScoringPosition
186,23,6,0.000,LogScoringPosition
187,23,7,0.000,LogScoringPosition
188,23,8,0.000,LogScoringPosition
189,23,9,0.000,LogScoringPosition
190,23,10,0.000,LogScoringPosition
191,23,11,0.000,LogScoringPosition
192,24,3,0.000,LogScoringPosition
193,24,4,16.561,LogScoringPosition
194,24,5,10.015,LogScoringPosition
195,24,6,0.000,LogScoringPosition
196,24,7,0.000,LogScoringPosition
197,24,8,0.000,LogScoringPosition
198,24,9,0.000,LogScoringPosition
199,24,10,14.370,LogScoringPosition
200,24,11,-20.018,LogScoringPosition
201,25,3,11.419,LogScoringPosition
202,25,4,11.759,LogScoringPosition
203,25,5,11.260,LogScoringPosition
204,25,6,11.168,LogScoringPosition
205,25,7,0.000,LogScoringPosition
206,25,8,0.000,LogScoringPosition
207,25,9,13.434,LogScoringPosition
208,25,10,12.738,LogScoringPosition
209,25,11,-62.295,LogScoringPosition
210,26,3,0.000,LogScoringPosition
211,26,4,0.000,LogScoringPosition
212,26,5,0.000,LogScoringPosition
213,26,6,0.000,LogScoringPosition
214,26,7,0.000,LogScoringPosition
215,26,8,0.000,LogScoringPosition
216,26,9,0.000,LogScoringPosition
217,26,10,0.000,LogScoringPosition
218,26,11,0.000,LogScoringPosition
219,27,3,0.000,LogScoringPosition
220,27,4,0.000,LogScoringPosition
221,27,5,0.000,LogScoringPosition
222,27,6,0.000,LogScoringPosition
223,27,7,0.000,LogScoringPosition
224,27,8,0.000,LogScoringPosition
225,27,9,0.000,LogScoringPosition
226,27,10,0.000,LogScoringPosition
227,27,11,0.000,LogScoringPosition
228,28,3,0.000,LogScoringPosition
229,28,4,0.000,LogScoringPosition
230,28,5,0.000,LogScoringPosition
231,28,6,0.000,LogScoringPosition
232,28,7,0.000,LogScoringPosition
233,28,8,0.000,LogScoringPosition
234,28,9,0.000,LogScoringPosition
235,28,10,0.000,LogScoringPosition
236,28,11,0.000,LogScoringPosition
237,29,3,34.510,LogScoringPosition
238,29,4,31.049,LogScoringPosition
239,29,5,17.721,LogScoringPosition
240,29,6,13.001,LogScoringPosition
241,29,7,-26.484,LogScoringPosition
242,29,8,-11.104,LogScoringPosition
243,29,9,6.025,LogScoringPosition
244,29,10,13.278,LogScoringPosition
245,29,11,-8.497,LogScoringPosition
246,30,3,12.129,LogScoringPosition
247,30,4,12.276,LogScoringPosition
248,30,5,11.831,LogScoringPosition
249,30,6,23.913,LogScoringPosition
250,30,7,0.000,LogScoringPosition
251,30,8,0.000,LogScoringPosition
252,30,9,29.737,LogScoringPosition
253,30,10,48.601,LogScoringPosition
254,30,11,0.000,LogScoringPosition
255,31,3,23.268,LogScoringPosition
256,31,4,23.904,LogScoringPosition
257,31,5,0.000,LogScoringPosition
258,31,6,0.000,LogScoringPosition
259,31,7,0.000,LogScoringPosition
260,31,8,0.000,LogScoringPosition
261,31,9,19.002,LogScoringPosition
262,31,10,41.747,LogScoringPosition
263,31,11,111.042,LogScoringPosition
264,32,3,0.000,LogScoringPosition
265,32,4,0.000,LogScoringPosition
266,32,5,107.082,LogScoringPosition
267,32,6,0.000,LogScoringPosition
268,32,7,0.000,LogScoringPosition
269,32,8,0.000,LogScoringPosition
270,32,9,0.000,LogScoringPosition
271,32,10,0.000,LogScoringPosition
272,32,11,0.000,LogScoringPosition
273,33,3,0.000,LogScoringPosition
274,33,4,0.000,LogScoringPosition
275,33,5,0.000,LogScoringPosition
276,33,6,0.000,LogScoringPosition
277,33,7,0.000,LogScoringPosition
278,33,8,0.000,LogScoringPosition
279,33,9,0.000,LogScoringPosition
280,33,10,0.000,LogScoringPosition
281,33,11,0.000,LogScoringPosition
282,34,3,-105.588,LogScoringPosition
283,34,4,-93.879,LogScoringPosition
284,34,5,0.000,LogScoringPosition
285,34,6,0.000,LogScoringPosition
286,34,7,0.000,LogScoringPosition
287,34,8,0.000,LogScoringPosition
288,34,9,26.887,LogScoringPosition
289,34,10,27.312,LogScoringPosition
290,34,11,53.747,LogScoringPosition
291,35,3,0.000,LogScoringPosition
292,35,4,0.000,LogScoringPosition
293,35,5,0.000,LogScoringPosition
294,35,6,0.000,LogScoringPosition
295,35,7,0.000,LogScoringPosition
296,35,8,0.000,LogScoringPosition
297,35,9,0.000,LogScoringPosition
298,35,10,0.000,LogScoringPosition
299,35,11,0.000,LogScoringPosition
300,36,3,-151.707,LogScoringPosition
301,36,4,-96.438,LogScoringPosition
302,36,5,-227.575,LogScoringPosition
303,36,6,-44.954,LogScoringPosition
304,36,7,-8.196,LogScoringPosition
305,36,8,0.417,LogScoringPosition
306,36,9,-19.357,LogScoringPosition
307,36,10,-19.212,LogScoringPosition
308,36,11,79.625,LogScoringPosition
309,37,3,30.898,LogScoringPosition
310,37,4,25.667,LogScoringPosition
311,37,5,21.919,LogScoringPosition
312,37,6,21.725,LogScoringPosition
313,37,7,0.000,LogScoringPosition
314,37,8,0.000,LogScoringPosition
315,37,9,0.000,LogScoringPosition
316,37,10,0.000,LogScoringPosition
317,37,11,48.659,LogScoringPosition
318,38,3,12.624,LogScoringPosition
319,38,4,12.610,LogScoringPosition
320,38,5,10.175,LogScoringPosition
321,38,6,11.231,LogScoringPosition
322,38,7,18.143,LogScoringPosition
323,38,8,15.711,LogScoringPosition
324,38,9,18.762,LogScoringPosition
325,38,10,19.032,LogScoringPosition
326,38,11,53.005,LogScoringPosition
327,39,3,0.000,LogScoringPosition
328,39,4,0.000,LogScoringPosition
329,39,5,64.801,LogScoringPosition
330,39,6,62.219,LogScoringPosition
331,39,7,0.000,LogScoringPosition
332,39,8,0.000,LogScoringPosition
333,39,9,0.000,LogScoringPosition
334,39,10,0.000,LogScoringPosition
335,39,11,0.000,LogScoringPosition
336,40,3,0.000,LogScoringPosition
337,40,4,11.988,LogScoringPosition
338,40,5,21.924,LogScoringPosition
339,40,6,11.166,LogScoringPosition
340,40,7,15.148,LogScoringPosition
341,40,8,0.000,LogScoringPosition
342,40,9,29.361,LogScoringPosition
343,40,10,13.796,LogScoringPosition
344,40,11,38.232,LogScoringPosition
345,41,3,0.000,LogScoringPosition
346,41,4,0.000,LogScoringPosition
347,41,5,12.105,LogScoringPosition
348,41,6,11.358,LogScoringPosition
349,41,7,-34.372,LogScoringPosition
350,41,8,0.000,LogScoringPosition
351,41,9,0.000,LogScoringPosition
352,41,10,0.000,LogScoringPosition
353,41,11,24.665,LogScoringPosition
354,42,3,19.541,LogScoringPosition
355,42,4,17.832,LogScoringPosition
356,42,5,26.018,LogScoringPosition
357,42,6,21.870,LogScoringPosition
358,42,7,3.115,LogScoringPosition
359,42,8,1.687,LogScoringPosition
360,42,9,14.256,LogScoringPosition
361,42,10,6.936,LogScoringPosition
362,42,11,20.123,LogScoringPosition
363,43,3,22.411,LogScoringPosition
364,43,4,23.343,LogScoringPosition
365,43,5,20.148,LogScoringPosition
366,43,6,21.506,LogScoringPosition
367,43,7,4.811,LogScoringPosition
368,43,8,4.335,LogScoringPosition
369,43,9,4.923,LogScoringPosition
370,43,10,4.899,LogScoringPosition
371,43,11,22.269,LogScoringPosition
372,44,3,0.000,LogScoringPosition
373,44,4,0.000,LogScoringPosition
374,44,5,0.000,LogScoringPosition
375,44,6,0.000,LogScoringPosition
376,44,7,0.000,LogScoringPosition
377,44,8,0.000,LogScoringPosition
378,44,9,0.000,LogScoringPosition
379,44,10,0.000,LogScoringPosition
380,44,11,0.000,LogScoringPosition
381,45,3,33.173,LogScoringPosition
382,45,4,33.963,LogScoringPosition
383,45,5,22.134,LogScoringPosition
384,45,6,22.474,LogScoringPosition
385,45,7,0.000,LogScoringPosition
386,45,8,0.000,LogScoringPosition
387,45,9,-20.037,LogScoringPosition
388,45,10,-19.248,LogScoringPosition
389,45,11,0.000,LogScoringPosition
390,46,3,11.026,LogScoringPosition
391,46,4,11.374,LogScoringPosition
392,46,5,32.858,LogScoringPosition
393,46,6,34.329,LogScoringPosition
394,46,7,0.000,LogScoringPosition
395,46,8,0.000,LogScoringPosition
396,46,9,34.529,LogScoringPosition
397,46,10,0.000,LogScoringPosition
398,46,11,0.000,LogScoringPosition
399,47,3,1.106,LogScoringPosition
400,47,4,1.108,LogScoringPosition
401,47,5,1.071,LogScoringPosition
402,47,6,0.000,LogScoringPosition
403,47,7,0.000,LogScoringPosition
404,47,8,0.000,LogScoringPosition
405,47,9,0.000,LogScoringPosition
406,47,10,0.000,LogScoringPosition
407,47,11,0.000,LogScoringPosition
408,48,3,17.648,LogScoringPosition
409,48,4,17.679,LogScoringPosition
410,48,5,16.437,LogScoringPosition
411,48,6,19.339,LogScoringPosition
412,48,7,20.248,LogScoringPosition
413,48,8,17.617,LogScoringPosition
414,48,9,0.000,LogScoringPosition
415,48,10,-18.810,LogScoringPosition
416,48,11,-12.207,LogScoringPosition
417,49,3,-34.071,LogScoringPosition
